"Kunta-
numero
Kommun-
nummer"	Kunta	Kommun	"Maata
Land
km2"	"Makeaa vettä
Sötvatten
km2"	"Merivettä
Havsvatten
km2"	"Yhteensä
Totalt
km2"					
20	Akaa	Akaa	293.14	21.24	0	314.38					
5	Alajärvi	Alajärvi	1008.74	48	0	1056.74					
9	Alavieska	Alavieska	251.36	24108	0	253.02					
10	Alavus	Alavus	1088.16	64.23	0	1152.39					
16	Asikkala	Asikkala	563.38	192.17	0	755.55					
18	Askola	Askola	212.41	22767	0	218.03					
19	Aura	Aura	95	0.58	0	95.58					
35	Brändö	Brändö	107.88	0.38	1534.8	1643.06					
43	Eckerö	Eckerö	107.65	17168	643.47	752.59					
46	Enonkoski	Enonkoski	305.82	113.38	0	419.2					
47	Enontekiö	Enontekis	7945.49	445.86	0	8391.35					
49	Espoo	Esbo	312.2	18	197.82	528.02					
50	Eura	Eura	578.77	51.43	0	630.2					
51	Eurajoki	Euraåminne	345.39	41885	294.49	643.78					
52	Evijärvi	Evijärvi	354.07	36.63	0	390.7					
60	Finström	Finström	123.23	34486	42.32	172.49					
61	Forssa	Forssa	248.78	22737	0	253.4					
62	Föglö	Föglö	134.77	0.31	1733.9	1868.98					
65	Geta	Geta	84.35	31444	519.27	606.48					
69	Haapajärvi	Haapajärvi	765.66	23.44	0	789.1					
71	Haapavesi	Haapavesi	1049.77	36.34	0	1086.11					
72	Hailuoto	Karlö	200.56	41821	880.44	1082.7					
74	Halsua	Halsua	412.71	15.63	0	428.34					
75	Hamina	Fredrikshamn	609.51	23.17	522.44	1155.12					
76	Hammarland	Hammarland	138.21	34700	1082.89	1223.05					
77	Hankasalmi	Hankasalmi	571.73	116.03	0	687.76					
78	Hanko	Hangö	116.89	41731	681.13	800.06					
79	Harjavalta	Harjavalta	123.46	46844	0	127.74					
81	Hartola	Hartola	542.95	132.43	0	675.38					
82	Hattula	Hattula	357.81	69.58	0	427.39					
86	Hausjärvi	Hausjärvi	389.31	17411	0	398.78					
111	Heinola	Heinola	676.09	163.2	0	839.29					
90	Heinävesi	Heinävesi	1030.28	289.29	0	1319.57					
91	Helsinki	Helsingfors	213.75	0.86	500.87	715.48					
97	Hirvensalmi	Hirvensalmi	465.38	281.21	0	746.59					
98	Hollola	Hollola	463.16	68.68	0	531.84					
99	Honkajoki	Honkajoki	331.36	28126	0	333.13					
