kunta,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"(2:Akaa,Akaa)",15767,15770,15734,15721,15741,15651,15668,15733,15820,15937,16048,16096,16201,16142,16038,15986,15924,15840,15857,15954,15945,16022,16117,16269,16324,16422,16586,16738,16837,16858,17012,17091,17134
"(2:Alajärvi,Alajärvi)",11089,11219,11357,11461,11612,11683,11758,11760,11832,11860,11963,11982,12023,11992,11985,11890,11874,11803,11720,11624,11503,11341,11185,11075,11027,10910,10768,10698,10634,10573,10487,10327,10268
"(2:Alavieska,Alavieska)",2990,3003,3036,3044,3048,3040,3030,3036,3023,3050,3072,3060,3053,3097,3084,3051,3054,3064,3029,2990,2940,2902,2898,2891,2894,2854,2827,2817,2759,2776,2770,2750,2761
"(2:Alavus,Alavus)",13580,13640,13749,13799,13858,13781,13779,13725,13720,13758,13785,13781,13744,13690,13623,13472,13341,13330,13299,13174,13135,13040,12925,12897,12880,12868,12791,12788,12706,12586,12439,12385,12341
"(2:Asikkala,Asikkala)",8251,8320,8355,8420,8506,8564,8611,8653,8727,8787,8822,8790,8828,8842,8761,8782,8728,8694,8609,8636,8644,8680,8648,8554,8547,8560,8597,8663,8604,8551,8552,8498,8461
"(2:Askola,Askola)",4058,4048,4119,4108,4130,4130,4101,4115,4167,4178,4248,4311,4334,4348,4319,4269,4301,4298,4314,4360,4389,4421,4446,4474,4530,4555,4627,4711,4761,4831,4864,4911,4988
"(2:Aura,Aura)",2470,2504,2549,2607,2668,2692,2782,2773,2880,2901,2960,3134,3195,3232,3280,3288,3281,3293,3291,3316,3338,3378,3457,3514,3620,3699,3750,3823,3852,3840,3911,3975,3971
"(2:Brändö,Brändö)",550,568,552,551,546,528,528,529,532,524,529,532,536,538,546,548,534,538,525,517,514,501,502,515,516,519,520,510,518,498,488,480,476
"(2:Eckerö,Eckerö)",685,698,716,716,748,769,759,768,782,786,811,822,843,829,820,823,816,810,835,846,830,839,884,895,897,925,929,923,921,924,943,978,960
"(2:Enonkoski,Enonkoski)",2029,2025,2042,2050,2105,2225,2244,2208,2231,2255,2217,2185,2222,2186,2142,2093,2035,1976,1938,1909,1871,1819,1793,1747,1738,1713,1696,1677,1651,1617,1615,1566,1532
"(2:Enontekiö,Enontekis)",2286,2289,2357,2411,2432,2419,2435,2420,2444,2467,2472,2504,2475,2483,2450,2413,2378,2365,2324,2225,2145,2100,2073,2022,1998,2000,1997,1965,1915,1882,1876,1893,1880
"(2:Espoo,Esbo)",137409,141334,145317,149057,152929,156778,160406,164569,167734,169851,172629,175670,179054,182647,186507,191247,196260,200834,204962,209667,213271,216836,221597,224231,227472,231704,235019,238047,241565,244330,247970,252439,256824
"(2:Eura,Eura)",13729,13715,13698,13702,13707,13630,13566,13420,13384,13333,13406,13439,13519,13533,13493,13438,13371,13320,13218,13121,12957,12883,12843,12779,12793,12807,12769,12676,12576,12554,12507,12424,12406
"(2:Eurajoki,Euraåminne)",5724,5750,5838,5898,5881,5837,5837,5906,5971,6043,6145,6125,6175,6213,6195,6217,6157,6087,6028,5929,5910,5791,5760,5774,5796,5834,5843,5854,5871,5874,5923,5844,5922
"(2:Evijärvi,Evijärvi)",3423,3430,3439,3448,3442,3431,3397,3400,3398,3372,3356,3325,3329,3323,3331,3287,3243,3209,3153,3117,3067,3027,2990,2985,2935,2916,2854,2827,2780,2772,2755,2747,2686
"(2:Finström,Finström)",2052,2092,2119,2144,2145,2162,2163,2188,2174,2201,2206,2220,2239,2243,2250,2246,2283,2273,2276,2277,2299,2304,2332,2371,2399,2441,2464,2457,2483,2486,2502,2527,2531
"(2:Forssa,Forssa)",19332,19424,19688,19936,20028,20074,19973,19879,19905,19753,19660,19664,19699,19742,19699,19542,19335,19124,18857,18644,18506,18311,18201,18104,18076,17918,17894,17835,17870,17807,17904,17833,17727
"(2:Föglö,Föglö)",608,600,604,610,605,605,593,588,599,602,606,607,600,602,603,602,598,599,596,600,595,589,600,608,607,596,583,582,576,561,580,577,578
"(2:Geta,Geta)",471,468,474,481,464,443,442,437,462,463,478,472,471,475,467,461,475,480,473,482,478,476,470,461,461,444,448,443,456,457,475,492,495
"(2:Haapajärvi,Haapajärvi)",8202,8309,8349,8419,8423,8454,8450,8501,8483,8432,8463,8531,8593,8592,8546,8519,8487,8482,8429,8300,8236,8179,8153,8083,8013,7882,7848,7850,7771,7714,7639,7609,7641
